PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"9503271","The 5-HT transporter gene-linked polymorphic region (5-HTTLPR) in evolutionary perspective: alternative biallelic variation in rhesus monkeys. Rapid communication","Lesch KP, Meyer J, Glatz K, Flügge G, Hinney A, Hebebrand J, Klauck SM, Poustka A, Poustka F, Bengel D, Mössner R, Riederer P, Heils A.","J Neural Transm (Vienna). 1997;104(11-12):1259-66. doi: 10.1007/BF01294726.","Lesch KP","J Neural Transm (Vienna)","1997","1997/01/01","","","10.1007/BF01294726"
"9686420","Association of a serotonin transporter gene promoter polymorphism with harm avoidance behaviour in an elderly population","Ricketts MH, Hamer RM, Sage JI, Manowitz P, Feng F, Menza MA.","Psychiatr Genet. 1998 Summer;8(2):41-4. doi: 10.1097/00041444-199800820-00001.","Ricketts MH","Psychiatr Genet","1998","1998/08/01","","","10.1097/00041444-199800820-00001"
"9702741","A functional serotonin transporter (5-HTT) polymorphism is associated with psychosis in neuroleptic-free schizophrenics","Malhotra AK, Goldman D, Mazzanti C, Clifton A, Breier A, Pickar D.","Mol Psychiatry. 1998 Jul;3(4):328-32. doi: 10.1038/sj.mp.4000412.","Malhotra AK","Mol Psychiatry","1998","1998/08/14","","","10.1038/sj.mp.4000412"
"9929970","Anxiety traits associated with a polymorphism in the serotonin transporter gene regulatory region in the Japanese","Murakami F, Shimomura T, Kotani K, Ikawa S, Nanba E, Adachi K.","J Hum Genet. 1999;44(1):15-7. doi: 10.1007/s100380050098.","Murakami F","J Hum Genet","1999","1999/02/04","","","10.1007/s100380050098"
"10089017","Neuroticism is not associated with the serotonin transporter (5-HTTLPR) polymorphism","Flory JD, Manuck SB, Ferrell RE, Dent KM, Peters DG, Muldoon MF.","Mol Psychiatry. 1999 Jan;4(1):93-6. doi: 10.1038/sj.mp.4000466.","Flory JD","Mol Psychiatry","1999","1999/03/24","","","10.1038/sj.mp.4000466"
"10089018","A novel allele in the promoter region of the human serotonin transporter gene","Michaelovsky E, Frisch A, Rockah R, Peleg L, Magal N, Shohat M, Weizman R.","Mol Psychiatry. 1999 Jan;4(1):97-9. doi: 10.1038/sj.mp.4000449.","Michaelovsky E","Mol Psychiatry","1999","1999/03/24","","","10.1038/sj.mp.4000449"
"10050973","Genetic variation in the serotonin transporter promoter region affects serotonin uptake in human blood platelets","Greenberg BD, Tolliver TJ, Huang SJ, Li Q, Bengel D, Murphy DL.","Am J Med Genet. 1999 Feb 5;88(1):83-7.","Greenberg BD","Am J Med Genet","1999","1999/03/02","","",""
"10213171","Study of the association between the serotonin transporter gene regulatory region polymorphism and personality traits in a Japanese population","Kumakiri C, Kodama K, Shimizu E, Yamanouchi N, Okada S, Noda S, Okamoto H, Sato T, Shirasawa H.","Neurosci Lett. 1999 Mar 26;263(2-3):205-7. doi: 10.1016/s0304-3940(99)00098-1.","Kumakiri C","Neurosci Lett","1999","1999/04/23","","","10.1016/s0304-3940(99)00098-1"
"10395220","Serotonin transporter gene (5-HTTLPR) is not associated with depressive symptomatology in mood disorders","Seretti A, Cusin C, Lattuada E, Di Bella D, Catalano M, Smeraldi E.","Mol Psychiatry. 1999 May;4(3):280-3. doi: 10.1038/sj.mp.4000485.","Seretti A","Mol Psychiatry","1999","1999/07/08","","","10.1038/sj.mp.4000485"
"10780268","Tentative association of the serotonin transporter with schizophrenia and unipolar depression but not with bipolar disorder in Han Chinese","Liu W, Gu N, Feng G, Li S, Bai S, Zhang J, Shen T, Xue H, Breen G, St Clair D, He L.","Pharmacogenetics. 1999 Aug;9(4):491-5.","Liu W","Pharmacogenetics","1999","2000/04/26","","",""
"10822346","Interaction between the serotonin transporter gene and neuroticism in cigarette smoking behavior","Hu S, Brody CL, Fisher C, Gunzerath L, Nelson ML, Sabol SZ, Sirota LA, Marcus SE, Greenberg BD, Murphy DL, Hamer DH.","Mol Psychiatry. 2000 Mar;5(2):181-8. doi: 10.1038/sj.mp.4000690.","Hu S","Mol Psychiatry","2000","2000/05/24","","","10.1038/sj.mp.4000690"
"10822348","Possible association of the short allele of the serotonin transporter promoter gene polymorphism (5-HTTLPR) with violent suicide","Bondy B, Erfurth A, de Jonge S, Krüger M, Meyer H.","Mol Psychiatry. 2000 Mar;5(2):193-5. doi: 10.1038/sj.mp.4000678.","Bondy B","Mol Psychiatry","2000","2000/05/24","","","10.1038/sj.mp.4000678"
"10822353","Association and linkage of anxiety-related traits with a functional polymorphism of the serotonin transporter gene regulatory region in Israeli sibling pairs","Osher Y, Hamer D, Benjamin J.","Mol Psychiatry. 2000 Mar;5(2):216-9. doi: 10.1038/sj.mp.4000660.","Osher Y","Mol Psychiatry","2000","2000/05/24","","","10.1038/sj.mp.4000660"
"10893498","Association between the serotonin transporter promoter polymorphism and personality traits in a primarily female population sample","Greenberg BD, Li Q, Lucas FR, Hu S, Sirota LA, Benjamin J, Lesch KP, Hamer D, Murphy DL.","Am J Med Genet. 2000 Apr 3;96(2):202-16. doi: 10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j.","Greenberg BD","Am J Med Genet","2000","2000/07/14","","","10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j"
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"11032389","Association of a functional polymorphism of the serotonin transporter gene with anxiety-related temperament and behavior problems in children: a longitudinal study from infancy to the mid-teens","Jorm AF, Prior M, Sanson A, Smart D, Zhang Y, Easteal S.","Mol Psychiatry. 2000 Sep;5(5):542-7. doi: 10.1038/sj.mp.4000782.","Jorm AF","Mol Psychiatry","2000","2000/10/14","","","10.1038/sj.mp.4000782"
"11027924","Allelic variation in the serotonin transporter promoter affects onset of paroxetine treatment response in late-life depression","Pollock BG, Ferrell RE, Mulsant BH, Mazumdar S, Miller M, Sweet RA, Davis S, Kirshner MA, Houck PR, Stack JA, Reynolds CF, Kupfer DJ.","Neuropsychopharmacology. 2000 Nov;23(5):587-90. doi: 10.1016/S0893-133X(00)00132-9.","Pollock BG","Neuropsychopharmacology","2000","2000/10/12","","","10.1016/S0893-133X(00)00132-9"
"11324940","Gender differences in association between serotonin transporter gene polymorphism and personality traits","Du L, Bakish D, Hrdina PD.","Psychiatr Genet. 2000 Dec;10(4):159-64. doi: 10.1097/00041444-200010040-00002.","Du L","Psychiatr Genet","2000","2001/04/28","","","10.1097/00041444-200010040-00002"
"11213357","Modulation of serotonin transporter function by interleukin-4","Mössner R, Daniel S, Schmitt A, Albert D, Lesch KP.","Life Sci. 2001 Jan 12;68(8):873-80. doi: 10.1016/s0024-3205(00)00992-9.","Mössner R","Life Sci","2001","2001/02/24","","","10.1016/s0024-3205(00)00992-9"
"11353442","Family-based association study of serotonin transporter promoter in suicidal adolescents: no association with suicidality but possible role in violence traits","Zalsman G, Frisch A, Bromberg M, Gelernter J, Michaelovsky E, Campino A, Erlich Z, Tyano S, Apter A, Weizman A.","Am J Med Genet. 2001 Apr 8;105(3):239-45. doi: 10.1002/ajmg.1261.","Zalsman G","Am J Med Genet","2001","2001/05/16","","","10.1002/ajmg.1261"
"11326306","Association between violent suicidal behavior and the low activity allele of the serotonin transporter gene","Courtet P, Baud P, Abbar M, Boulenger JP, Castelnau D, Mouthon D, Malafosse A, Buresi C.","Mol Psychiatry. 2001 May;6(3):338-41. doi: 10.1038/sj.mp.4000856.","Courtet P","Mol Psychiatry","2001","2001/04/28","","","10.1038/sj.mp.4000856"
"11449399","Serotonin transporter gene polymorphisms are associated with anxiety-related personality traits in women","Melke J, Landén M, Baghei F, Rosmond R, Holm G, Björntorp P, Westberg L, Hellstrand M, Eriksson E.","Am J Med Genet. 2001 Jul 8;105(5):458-63. doi: 10.1002/ajmg.1434.","Melke J","Am J Med Genet","2001","2001/07/13","","","10.1002/ajmg.1434"
"11803526","Serotonin transporter gene polymorphism and psychiatric disorders in NF1 patients","Bellivier F, Laplanche JL, Fournier G, Wolkenstein P.","Am J Med Genet. 2001 Dec 8;105(8):758-60. doi: 10.1002/ajmg.10037.","Bellivier F","Am J Med Genet","2001","2002/01/23","","","10.1002/ajmg.10037"
"12476327","Association study of the serotonin transporter promoter polymorphism and symptomatology and antidepressant response in major depressive disorders","Yu YW, Tsai SJ, Chen TJ, Lin CH, Hong CJ.","Mol Psychiatry. 2002;7(10):1115-9. doi: 10.1038/sj.mp.4001141.","Yu YW","Mol Psychiatry","2002","2002/12/12","","","10.1038/sj.mp.4001141"
"11920428","Confirmation of an association between fibromyalgia and serotonin transporter promoter region (5- HTTLPR) polymorphism, and relationship to anxiety-related personality traits","Cohen H, Buskila D, Neumann L, Ebstein RP.","Arthritis Rheum. 2002 Mar;46(3):845-7. doi: 10.1002/art.10103.","Cohen H","Arthritis Rheum","2002","2002/03/29","","","10.1002/art.10103"
"11857587","Serotonin transporter promoter polymorphism, peripheral indexes of serotonin function, and personality measures in families with alcoholism","Stoltenberg SF, Twitchell GR, Hanna GL, Cook EH, Fitzgerald HE, Zucker RA, Little KY.","Am J Med Genet. 2002 Mar 8;114(2):230-4. doi: 10.1002/ajmg.10187.","Stoltenberg SF","Am J Med Genet","2002","2002/02/22","","","10.1002/ajmg.10187"
"12111622","Absence of association of the serotonin transporter gene polymorphism with the mentally healthy subset of fibromyalgia patients","Gursoy S.","Clin Rheumatol. 2002 Jun;21(3):194-7. doi: 10.1007/s10067-002-8284-5.","Gursoy S","Clin Rheumatol","2002","2002/07/12","","","10.1007/s10067-002-8284-5"
"12556912","Association of D4 dopamine receptor gene and serotonin transporter promoter polymorphisms with infants' response to novelty","Lakatos K, Nemoda Z, Birkas E, Ronai Z, Kovacs E, Ney K, Toth I, Sasvari-Szekely M, Gervai J.","Mol Psychiatry. 2003 Jan;8(1):90-7. doi: 10.1038/sj.mp.4001212.","Lakatos K","Mol Psychiatry","2003","2003/01/31","","","10.1038/sj.mp.4001212"
"12524160","Serotonin transporter-linked promoter region polymorphism and personality traits in a Japanese population","Umekage T, Tochigi M, Marui T, Kato C, Hibino H, Otani T, Kohda K, Kato N, Sasaki T.","Neurosci Lett. 2003 Jan 30;337(1):13-6. doi: 10.1016/s0304-3940(02)01291-0.","Umekage T","Neurosci Lett","2003","2003/01/14","","","10.1016/s0304-3940(02)01291-0"
