PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"14653305","The utility of the non-human primate; model for studying gene by environment interactions in behavioral research","Barr CS, Newman TK, Becker ML, Parker CC, Champoux M, Lesch KP, Goldman D, Suomi SJ, Higley JD.","Genes Brain Behav. 2003 Dec;2(6):336-40. doi: 10.1046/j.1601-1848.2003.00051.x.","Barr CS","Genes Brain Behav","2003","2003/12/05","","","10.1046/j.1601-1848.2003.00051.x"
"16534505","The molecular genetic architecture of human personality: beyond self-report questionnaires","Ebstein RP.","Mol Psychiatry. 2006 May;11(5):427-45. doi: 10.1038/sj.mp.4001814.","Ebstein RP","Mol Psychiatry","2006","2006/03/15","","","10.1038/sj.mp.4001814"
"16442081","Imaging genetics: perspectives from studies of genetically driven variation in serotonin function and corticolimbic affective processing","Hariri AR, Drabant EM, Weinberger DR.","Biol Psychiatry. 2006 May 15;59(10):888-97. doi: 10.1016/j.biopsych.2005.11.005. Epub 2006 Jan 25.","Hariri AR","Biol Psychiatry","2006","2006/01/31","","","10.1016/j.biopsych.2005.11.005"
"17003521","Cellular and molecular alterations in mice with deficient and reduced serotonin transporters","Li Q.","Mol Neurobiol. 2006 Aug;34(1):51-66. doi: 10.1385/mn:34:1:51.","Li Q","Mol Neurobiol","2006","2006/09/28","","","10.1385/mn:34:1:51"
"19738481","The role of pharmacogenetics in the treatment of depression and anxiety disorders","Schosser A, Kasper S.","Int Clin Psychopharmacol. 2009 Nov;24(6):277-88. doi: 10.1097/YIC.0b013e3283306a2f.","Schosser A","Int Clin Psychopharmacol","2009","2009/09/10","","","10.1097/YIC.0b013e3283306a2f"
"20024596","From nature versus nurture, via nature and nurture, to gene x environment interaction in mental disorders","Wermter AK, Laucht M, Schimmelmann BG, Banaschewski T, Sonuga-Barke EJ, Rietschel M, Becker K.","Eur Child Adolesc Psychiatry. 2010 Mar;19(3):199-210. doi: 10.1007/s00787-009-0082-z. Epub 2009 Dec 19.","Wermter AK","Eur Child Adolesc Psychiatry","2010","2009/12/22","","","10.1007/s00787-009-0082-z"
"19944771","Imaging genetics of anxiety disorders","Domschke K, Dannlowski U.","Neuroimage. 2010 Nov 15;53(3):822-31. doi: 10.1016/j.neuroimage.2009.11.042. Epub 2009 Nov 26.","Domschke K","Neuroimage","2010","2009/12/01","","","10.1016/j.neuroimage.2009.11.042"
"21047622","Looking on the bright side of serotonin transporter gene variation","Homberg JR, Lesch KP.","Biol Psychiatry. 2011 Mar 15;69(6):513-9. doi: 10.1016/j.biopsych.2010.09.024. Epub 2010 Nov 2.","Homberg JR","Biol Psychiatry","2011","2010/11/05","","","10.1016/j.biopsych.2010.09.024"
"22261701","Behavioural genetics of the serotonin transporter","Haddley K, Bubb VJ, Breen G, Parades-Esquivel UM, Quinn JP.","Curr Top Behav Neurosci. 2012;12:503-35. doi: 10.1007/7854_2011_186.","Haddley K","Curr Top Behav Neurosci","2012","2012/01/21","","","10.1007/7854_2011_186"
