PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"9399688","Serotonin transporter gene polymorphisms: ethnic difference and possible association with bipolar affective disorder","Kunugi H, Hattori M, Kato T, Tatsumi M, Sakai T, Sasaki T, Hirose T, Nanko S.","Mol Psychiatry. 1997 Oct-Nov;2(6):457-62. doi: 10.1038/sj.mp.4000334.","Kunugi H","Mol Psychiatry","1997","1997/12/17","","","10.1038/sj.mp.4000334"
"9577843","Role of serotonin transporter promoter repeat length polymorphism (5-HTTLPR) in seasonality and seasonal affective disorder","Rosenthal NE, Mazzanti CM, Barnett RL, Hardin TA, Turner EH, Lam GK, Ozaki N, Goldman D.","Mol Psychiatry. 1998 Mar;3(2):175-7. doi: 10.1038/sj.mp.4000360.","Rosenthal NE","Mol Psychiatry","1998","1998/05/13","","","10.1038/sj.mp.4000360"
"9799087","Variability in the serotonin transporter gene and increased risk for major depression with melancholia","Gutiérrez B, Pintor L, Gastó C, Rosa A, Bertranpetit J, Vieta E, Fañanás L.","Hum Genet. 1998 Sep;103(3):319-22. doi: 10.1007/s004390050823.","Gutiérrez B","Hum Genet","1998","1998/11/03","","","10.1007/s004390050823"
"9848084","No association between the serotonin transporter-linked promoter region polymorphism and either schizophrenia or density of the serotonin transporter in human hippocampus","Naylor L, Dean B, Pereira A, Mackinnon A, Kouzmenko A, Copolov D.","Mol Med. 1998 Oct;4(10):671-4.","Naylor L","Mol Med","1998","1998/12/16","PMC2230253","",""
"9832193","Serotonin transporter gene polymorphisms in patients with unipolar or bipolar depression","Bellivier F, Henry C, Szöke A, Schürhoff F, Nosten-Bertrand M, Feingold J, Launay JM, Leboyer M, Laplanche JL.","Neurosci Lett. 1998 Oct 23;255(3):143-6. doi: 10.1016/s0304-3940(98)00677-6.","Bellivier F","Neurosci Lett","1998","1998/12/01","","","10.1016/s0304-3940(98)00677-6"
"9929970","Anxiety traits associated with a polymorphism in the serotonin transporter gene regulatory region in the Japanese","Murakami F, Shimomura T, Kotani K, Ikawa S, Nanba E, Adachi K.","J Hum Genet. 1999;44(1):15-7. doi: 10.1007/s100380050098.","Murakami F","J Hum Genet","1999","1999/02/04","","","10.1007/s100380050098"
"9988839","Serotonin transporter gene is not associated with symptomatology of schizophrenia","Serretti A, Catalano M, Smeraldi E.","Schizophr Res. 1999 Jan 4;35(1):33-9. doi: 10.1016/s0920-9964(98)00111-x.","Serretti A","Schizophr Res","1999","1999/02/16","","","10.1016/s0920-9964(98)00111-x"
"10359482","Serotonin transporter gene not associated with psychotic symptomatology of mood disorders","Serretti A, Lattuada E, Catalano M, Smeraldi E.","Psychiatry Res. 1999 Apr 19;86(1):59-65. doi: 10.1016/s0165-1781(99)00021-9.","Serretti A","Psychiatry Res","1999","1999/06/08","","","10.1016/s0165-1781(99)00021-9"
"10395220","Serotonin transporter gene (5-HTTLPR) is not associated with depressive symptomatology in mood disorders","Seretti A, Cusin C, Lattuada E, Di Bella D, Catalano M, Smeraldi E.","Mol Psychiatry. 1999 May;4(3):280-3. doi: 10.1038/sj.mp.4000485.","Seretti A","Mol Psychiatry","1999","1999/07/08","","","10.1038/sj.mp.4000485"
"10483058","Association of unipolar major depressive disorder with genes of the serotonergic and dopaminergic pathways","Frisch A, Postilnick D, Rockah R, Michaelovsky E, Postilnick S, Birman E, Laor N, Rauchverger B, Kreinin A, Poyurovsky M, Schneidman M, Modai I, Weizman R.","Mol Psychiatry. 1999 Jul;4(4):389-92. doi: 10.1038/sj.mp.4000536.","Frisch A","Mol Psychiatry","1999","1999/09/14","","","10.1038/sj.mp.4000536"
"10780268","Tentative association of the serotonin transporter with schizophrenia and unipolar depression but not with bipolar disorder in Han Chinese","Liu W, Gu N, Feng G, Li S, Bai S, Zhang J, Shen T, Xue H, Breen G, St Clair D, He L.","Pharmacogenetics. 1999 Aug;9(4):491-5.","Liu W","Pharmacogenetics","1999","2000/04/26","","",""
"10484962","Influence of a functional polymorphism within the promoter of the serotonin transporter gene on the effects of total sleep deprivation in bipolar depression","Benedetti F, Serretti A, Colombo C, Campori E, Barbini B, di Bella D, Smeraldi E.","Am J Psychiatry. 1999 Sep;156(9):1450-2. doi: 10.1176/ajp.156.9.1450.","Benedetti F","Am J Psychiatry","1999","1999/09/15","","","10.1176/ajp.156.9.1450"
"10490703","No interaction between serotonin transporter gene and dopamine receptor D4 gene in symptomatology of major psychoses","Serretti A, Cusin C, Lattuada E, Lilli R, Lorenzi C, Di Bella D, Catalano M, Smeraldi E.","Am J Med Genet. 1999 Oct 15;88(5):481-5.","Serretti A","Am J Med Genet","1999","1999/09/22","","",""
"10555044","Possible association of fibromyalgia with a polymorphism in the serotonin transporter gene regulatory region","Offenbaecher M, Bondy B, de Jonge S, Glatzeder K, Krüger M, Schoeps P, Ackenheil M.","Arthritis Rheum. 1999 Nov;42(11):2482-8. doi: 10.1002/1529-0131(199911)42:11<2482::AID-ANR27>3.0.CO;2-B.","Offenbaecher M","Arthritis Rheum","1999","1999/11/11","","","10.1002/1529-0131(199911)42:11<2482::AID-ANR27>3.0.CO;2-B"
"10822346","Interaction between the serotonin transporter gene and neuroticism in cigarette smoking behavior","Hu S, Brody CL, Fisher C, Gunzerath L, Nelson ML, Sabol SZ, Sirota LA, Marcus SE, Greenberg BD, Murphy DL, Hamer DH.","Mol Psychiatry. 2000 Mar;5(2):181-8. doi: 10.1038/sj.mp.4000690.","Hu S","Mol Psychiatry","2000","2000/05/24","","","10.1038/sj.mp.4000690"
"10822353","Association and linkage of anxiety-related traits with a functional polymorphism of the serotonin transporter gene regulatory region in Israeli sibling pairs","Osher Y, Hamer D, Benjamin J.","Mol Psychiatry. 2000 Mar;5(2):216-9. doi: 10.1038/sj.mp.4000660.","Osher Y","Mol Psychiatry","2000","2000/05/24","","","10.1038/sj.mp.4000660"
"10893498","Association between the serotonin transporter promoter polymorphism and personality traits in a primarily female population sample","Greenberg BD, Li Q, Lucas FR, Hu S, Sirota LA, Benjamin J, Lesch KP, Hamer D, Murphy DL.","Am J Med Genet. 2000 Apr 3;96(2):202-16. doi: 10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j.","Greenberg BD","Am J Med Genet","2000","2000/07/14","","","10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j"
"10889543","Analysis of the serotonin transporter polymorphism (5-HTTLPR) in Brazilian patients affected by dysthymia, major depression and bipolar disorder","Oliveira JR, Carvalho DR, Pontual D, Gallindo RM, Sougey EB, Gentil V, Lafer B, Maia LG, Morais MA Jr, Matioli S, Vallada H, Moreno RA, Nishimura A, Otto PA, Passos-Bueno MR, Zatz M.","Mol Psychiatry. 2000 Jul;5(4):348-9. doi: 10.1038/sj.mp.4000725.","Oliveira JR","Mol Psychiatry","2000","2000/07/13","","","10.1038/sj.mp.4000725"
"10920459","A serotonin transporter gene promoter polymorphism (5-HTTLPR) and prefrontal cortical binding in major depression and suicide","Mann JJ, Huang YY, Underwood MD, Kassir SA, Oppenheim S, Kelly TM, Dwork AJ, Arango V.","Arch Gen Psychiatry. 2000 Aug;57(8):729-38. doi: 10.1001/archpsyc.57.8.729.","Mann JJ","Arch Gen Psychiatry","2000","2000/08/02","","","10.1001/archpsyc.57.8.729"
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"10960156","Serotonin transporter gene polymorphisms, alcoholism, and suicidal behavior","Gorwood P, Batel P, Adès J, Hamon M, Boni C.","Biol Psychiatry. 2000 Aug 15;48(4):259-64. doi: 10.1016/s0006-3223(00)00840-4.","Gorwood P","Biol Psychiatry","2000","2000/08/26","","","10.1016/s0006-3223(00)00840-4"
"11027924","Allelic variation in the serotonin transporter promoter affects onset of paroxetine treatment response in late-life depression","Pollock BG, Ferrell RE, Mulsant BH, Mazumdar S, Miller M, Sweet RA, Davis S, Kirshner MA, Houck PR, Stack JA, Reynolds CF, Kupfer DJ.","Neuropsychopharmacology. 2000 Nov;23(5):587-90. doi: 10.1016/S0893-133X(00)00132-9.","Pollock BG","Neuropsychopharmacology","2000","2000/10/12","","","10.1016/S0893-133X(00)00132-9"
"11190480","[Polymorphism in the human serotonin transporter gene in endogenous psychoses]","Shcherbatykh TV, Golimbet VE, Orlova VA, Kaleda VG.","Genetika. 2000 Dec;36(12):1712-5.","Shcherbatykh TV","Genetika","2000","2001/02/24","","",""
"11213357","Modulation of serotonin transporter function by interleukin-4","Mössner R, Daniel S, Schmitt A, Albert D, Lesch KP.","Life Sci. 2001 Jan 12;68(8):873-80. doi: 10.1016/s0024-3205(00)00992-9.","Mössner R","Life Sci","2001","2001/02/24","","","10.1016/s0024-3205(00)00992-9"
"11244145","Genetic studies of seasonal affective disorder and seasonality","Sher L.","Compr Psychiatry. 2001 Mar-Apr;42(2):105-10. doi: 10.1053/comp.2001.21217.","Sher L","Compr Psychiatry","2001","2001/03/13","","","10.1053/comp.2001.21217"
