PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"8929413","Association of anxiety-related traits with a polymorphism in the serotonin transporter gene regulatory region","Lesch KP, Bengel D, Heils A, Sabol SZ, Greenberg BD, Petri S, Benjamin J, Müller CR, Hamer DH, Murphy DL.","Science. 1996 Nov 29;274(5292):1527-31. doi: 10.1126/science.274.5292.1527.","Lesch KP","Science","1996","1996/11/29","","","10.1126/science.274.5292.1527"
"9503253","The human serotonin transporter gene polymorphism--basic research and clinical implications","Heils A, Mössner R, Lesch KP.","J Neural Transm (Vienna). 1997;104(10):1005-14. doi: 10.1007/BF01273314.","Heils A","J Neural Transm (Vienna)","1997","1997/01/01","","","10.1007/BF01273314"
"9322235","Obsessive compulsive disorder, response to serotonin reuptake inhibitors and the serotonin transporter gene","Billett EA, Richter MA, King N, Heils A, Lesch KP, Kennedy JL.","Mol Psychiatry. 1997 Sep;2(5):403-6. doi: 10.1038/sj.mp.4000257.","Billett EA","Mol Psychiatry","1997","1997/10/10","","","10.1038/sj.mp.4000257"
"9702741","A functional serotonin transporter (5-HTT) polymorphism is associated with psychosis in neuroleptic-free schizophrenics","Malhotra AK, Goldman D, Mazzanti C, Clifton A, Breier A, Pickar D.","Mol Psychiatry. 1998 Jul;3(4):328-32. doi: 10.1038/sj.mp.4000412.","Malhotra AK","Mol Psychiatry","1998","1998/08/14","","","10.1038/sj.mp.4000412"
"9693390","Genetically driven variation in serotonin uptake: is there a link to affective spectrum, neurodevelopmental, and neurodegenerative disorders?","Lesch KP, Mössner R.","Biol Psychiatry. 1998 Aug 1;44(3):179-92. doi: 10.1016/s0006-3223(98)00121-8.","Lesch KP","Biol Psychiatry","1998","1998/08/07","","","10.1016/s0006-3223(98)00121-8"
"11281959","Genes for personality traits: implications for psychopathology","Benjamin J, Ebstein RP, Lesch KP.","Int J Neuropsychopharmacol. 1998 Dec;1(2):153-168. doi: 10.1017/S1461145798001205.","Benjamin J","Int J Neuropsychopharmacol","1998","2001/04/03","","","10.1017/S1461145798001205"
"10089018","A novel allele in the promoter region of the human serotonin transporter gene","Michaelovsky E, Frisch A, Rockah R, Peleg L, Magal N, Shohat M, Weizman R.","Mol Psychiatry. 1999 Jan;4(1):97-9. doi: 10.1038/sj.mp.4000449.","Michaelovsky E","Mol Psychiatry","1999","1999/03/24","","","10.1038/sj.mp.4000449"
"10050973","Genetic variation in the serotonin transporter promoter region affects serotonin uptake in human blood platelets","Greenberg BD, Tolliver TJ, Huang SJ, Li Q, Bengel D, Murphy DL.","Am J Med Genet. 1999 Feb 5;88(1):83-7.","Greenberg BD","Am J Med Genet","1999","1999/03/02","","",""
"10335545","Lack of genetic linkage or association between a functional serotonin transporter polymorphism and panic disorder","Hamilton SP, Heiman GA, Haghighi F, Mick S, Klein DF, Hodge SE, Weissman MM, Fyer AJ, Knowles JA.","Psychiatr Genet. 1999 Mar;9(1):1-6. doi: 10.1097/00041444-199903000-00001.","Hamilton SP","Psychiatr Genet","1999","1999/05/21","","","10.1097/00041444-199903000-00001"
"10483057","Association between low activity serotonin transporter promoter genotype and early onset alcoholism with habitual impulsive violent behavior","Hallikainen T, Saito T, Lachman HM, Volavka J, Pohjalainen T, Ryynänen OP, Kauhanen J, Syvälahti E, Hietala J, Tiihonen J.","Mol Psychiatry. 1999 Jul;4(4):385-8. doi: 10.1038/sj.mp.4000526.","Hallikainen T","Mol Psychiatry","1999","1999/09/14","","","10.1038/sj.mp.4000526"
"10780268","Tentative association of the serotonin transporter with schizophrenia and unipolar depression but not with bipolar disorder in Han Chinese","Liu W, Gu N, Feng G, Li S, Bai S, Zhang J, Shen T, Xue H, Breen G, St Clair D, He L.","Pharmacogenetics. 1999 Aug;9(4):491-5.","Liu W","Pharmacogenetics","1999","2000/04/26","","",""
"11285147","New views of biogenic amine transporter function: implications for neuropsychopharmacology","Frazer A, Gerhardt GA, Daws LC.","Int J Neuropsychopharmacol. 1999 Dec;2(4):305-320. doi: 10.1017/S1461145799001625.","Frazer A","Int J Neuropsychopharmacol","1999","2001/04/04","","","10.1017/S1461145799001625"
"10893498","Association between the serotonin transporter promoter polymorphism and personality traits in a primarily female population sample","Greenberg BD, Li Q, Lucas FR, Hu S, Sirota LA, Benjamin J, Lesch KP, Hamer D, Murphy DL.","Am J Med Genet. 2000 Apr 3;96(2):202-16. doi: 10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j.","Greenberg BD","Am J Med Genet","2000","2000/07/14","","","10.1002/(sici)1096-8628(20000403)96:2<202::aid-ajmg16>3.0.co;2-j"
"10793323","Association between obsessive-compulsive disorder and polymorphisms of genes encoding components of the serotonergic and dopaminergic pathways","Frisch A, Michaelovsky E, Rockah R, Amir I, Hermesh H, Laor N, Fuchs C, Zohar J, Lerer B, Buniak SF, Landa S, Poyurovsky M, Shapira B, Weizman R.","Eur Neuropsychopharmacol. 2000 May;10(3):205-9. doi: 10.1016/s0924-977x(00)00071-7.","Frisch A","Eur Neuropsychopharmacol","2000","2000/05/04","","","10.1016/s0924-977x(00)00071-7"
"10895569","Evaluating gene x psychological risk factor effects in the pathogenesis of anxiety: a new model approach","Schmidt NB, Storey J, Greenberg BD, Santiago HT, Li Q, Murphy DL.","J Abnorm Psychol. 2000 May;109(2):308-20.","Schmidt NB","J Abnorm Psychol","2000","2000/07/15","","",""
"12607224","Polymorphic MAO-A and 5-HT-transporter genes: analysis of interactions in panic disorder","Sand P, Lesch KP, Catalano M, Bosi M, Syagailo YV, Okladnova O, Di Bella D, Maffei P, Heils A, Friess F, Politi E, Nöthen MM, Franke P, Stöber G, Fritze J, Maier W, Propping P, Beckmann H, Bellodi L, Riederer P, Deckert J.","World J Biol Psychiatry. 2000 Jul;1(3):147-50. doi: 10.3109/15622970009150583.","Sand P","World J Biol Psychiatry","2000","2003/02/28","","","10.3109/15622970009150583"
