PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"9693390","Genetically driven variation in serotonin uptake: is there a link to affective spectrum, neurodevelopmental, and neurodegenerative disorders?","Lesch KP, Mössner R.","Biol Psychiatry. 1998 Aug 1;44(3):179-92. doi: 10.1016/s0006-3223(98)00121-8.","Lesch KP","Biol Psychiatry","1998","1998/08/07","","","10.1016/s0006-3223(98)00121-8"
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"12083964","Polymorphism of the serotonin transporter: implications for the use of selective serotonin reuptake inhibitors","Lotrich FE, Pollock BG, Ferrell RE.","Am J Pharmacogenomics. 2001;1(3):153-64. doi: 10.2165/00129785-200101030-00001.","Lotrich FE","Am J Pharmacogenomics","2001","2002/06/27","","","10.2165/00129785-200101030-00001"
"11750794","Genetic perspectives on the serotonin transporter","Murphy DL, Li Q, Engel S, Wichems C, Andrews A, Lesch KP, Uhl G.","Brain Res Bull. 2001 Nov 15;56(5):487-94. doi: 10.1016/s0361-9230(01)00622-0.","Murphy DL","Brain Res Bull","2001","2001/12/26","","","10.1016/s0361-9230(01)00622-0"
"14653306","Functional neuroimaging of genetic variation in serotonergic neurotransmission","Hariri AR, Weinberger DR.","Genes Brain Behav. 2003 Dec;2(6):341-9. doi: 10.1046/j.1601-1848.2003.00048.x.","Hariri AR","Genes Brain Behav","2003","2003/12/05","","","10.1046/j.1601-1848.2003.00048.x"
"15877306","Genetics and genomics of depression","Hamet P, Tremblay J.","Metabolism. 2005 May;54(5 Suppl 1):10-5. doi: 10.1016/j.metabol.2005.01.006.","Hamet P","Metabolism","2005","2005/05/07","","","10.1016/j.metabol.2005.01.006"
"16288736","Alcohol dependence and gene x environment interaction in emotion regulation: Is serotonin the link?","Lesch KP.","Eur J Pharmacol. 2005 Dec 5;526(1-3):113-24. doi: 10.1016/j.ejphar.2005.09.027. Epub 2005 Nov 8.","Lesch KP","Eur J Pharmacol","2005","2005/11/18","","","10.1016/j.ejphar.2005.09.027"
"16595858","Imaging genomics applied to anxiety, stress response, and resiliency","Xu K, Ernst M, Goldman D.","Neuroinformatics. 2006 Winter;4(1):51-64. doi: 10.1385/NI:4:1:51.","Xu K","Neuroinformatics","2006","2006/04/06","","","10.1385/NI:4:1:51"
"16869229","Serotonergic dysfunction: brain imaging and behavioral correlates","Wrase J, Reimold M, Puls I, Kienast T, Heinz A.","Cogn Affect Behav Neurosci. 2006 Mar;6(1):53-61. doi: 10.3758/cabn.6.1.53.","Wrase J","Cogn Affect Behav Neurosci","2006","2006/07/28","","","10.3758/cabn.6.1.53"
"16530463","Genetics of emotional regulation: the role of the serotonin transporter in neural function","Hariri AR, Holmes A.","Trends Cogn Sci. 2006 Apr;10(4):182-91. doi: 10.1016/j.tics.2006.02.011. Epub 2006 Mar 10.","Hariri AR","Trends Cogn Sci","2006","2006/03/15","","","10.1016/j.tics.2006.02.011"
