PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"7711157","Primary structure of the serotonin transporter in unipolar depression and bipolar disorder","Lesch KP, Gross J, Franzek E, Wolozin BL, Riederer P, Murphy DL.","Biol Psychiatry. 1995 Feb 15;37(4):215-23. doi: 10.1016/0006-3223(94)00147-U.","Lesch KP","Biol Psychiatry","1995","1995/02/15","","","10.1016/0006-3223(94)00147-U"
"8809595","Effect of stress on the behavior and 5-HT system in Sprague-Dawley and Wistar Kyoto rat strains","Paré WP, Tejani-Butt SM.","Integr Physiol Behav Sci. 1996 Apr-Jun;31(2):112-21. doi: 10.1007/BF02699783.","Paré WP","Integr Physiol Behav Sci","1996","1996/04/01","","","10.1007/BF02699783"
"9399688","Serotonin transporter gene polymorphisms: ethnic difference and possible association with bipolar affective disorder","Kunugi H, Hattori M, Kato T, Tatsumi M, Sakai T, Sasaki T, Hirose T, Nanko S.","Mol Psychiatry. 1997 Oct-Nov;2(6):457-62. doi: 10.1038/sj.mp.4000334.","Kunugi H","Mol Psychiatry","1997","1997/12/17","","","10.1038/sj.mp.4000334"
"9577843","Role of serotonin transporter promoter repeat length polymorphism (5-HTTLPR) in seasonality and seasonal affective disorder","Rosenthal NE, Mazzanti CM, Barnett RL, Hardin TA, Turner EH, Lam GK, Ozaki N, Goldman D.","Mol Psychiatry. 1998 Mar;3(2):175-7. doi: 10.1038/sj.mp.4000360.","Rosenthal NE","Mol Psychiatry","1998","1998/05/13","","","10.1038/sj.mp.4000360"
"9611675","Serotonin transporter gene and risk for bipolar affective disorder: an association study in Spanish population","Gutiérrez B, Arranz MJ, Collier DA, Vallès V, Guillamat R, Bertranpetit J, Murray RM, Fãnás L.","Biol Psychiatry. 1998 Jun 1;43(11):843-7. doi: 10.1016/s0006-3223(97)00540-4.","Gutiérrez B","Biol Psychiatry","1998","1998/06/05","","","10.1016/s0006-3223(97)00540-4"
"9733975","Serotonin transporters are located on the axons beyond the synaptic junctions: anatomical and functional evidence","Zhou FC, Tao-Cheng JH, Segu L, Patel T, Wang Y.","Brain Res. 1998 Sep 14;805(1-2):241-54. doi: 10.1016/s0006-8993(98)00691-x.","Zhou FC","Brain Res","1998","1998/09/12","","","10.1016/s0006-8993(98)00691-x"
"9848084","No association between the serotonin transporter-linked promoter region polymorphism and either schizophrenia or density of the serotonin transporter in human hippocampus","Naylor L, Dean B, Pereira A, Mackinnon A, Kouzmenko A, Copolov D.","Mol Med. 1998 Oct;4(10):671-4.","Naylor L","Mol Med","1998","1998/12/16","PMC2230253","",""
"9857976","Polymorphism within the promoter of the serotonin transporter gene and antidepressant efficacy of fluvoxamine","Smeraldi E, Zanardi R, Benedetti F, Di Bella D, Perez J, Catalano M.","Mol Psychiatry. 1998 Nov;3(6):508-11. doi: 10.1038/sj.mp.4000425.","Smeraldi E","Mol Psychiatry","1998","1998/12/19","","","10.1038/sj.mp.4000425"
"11281959","Genes for personality traits: implications for psychopathology","Benjamin J, Ebstein RP, Lesch KP.","Int J Neuropsychopharmacol. 1998 Dec;1(2):153-168. doi: 10.1017/S1461145798001205.","Benjamin J","Int J Neuropsychopharmacol","1998","2001/04/03","","","10.1017/S1461145798001205"
"10333377","Behavioral effects of tryptophan depletion in seasonal affective disorder associated with the serotonin transporter gene?","Lenzinger E, Neumeister A, Praschak-Rieder N, Fuchs K, Gerhard E, Willeit M, Sieghart W, Kasper SF, Hornik K, Aschauer HN.","Psychiatry Res. 1999 Mar 22;85(3):241-6. doi: 10.1016/s0165-1781(99)00009-8.","Lenzinger E","Psychiatry Res","1999","1999/05/20","","","10.1016/s0165-1781(99)00009-8"
"10188639","Corticosterone regulation of serotonin transporter and 5-HT1A receptor expression in the aging brain","Maines LW, Keck BJ, Smith JE, Lakoski JM.","Synapse. 1999 Apr;32(1):58-66. doi: 10.1002/(SICI)1098-2396(199904)32:1<58::AID-SYN8>3.0.CO;2-R.","Maines LW","Synapse","1999","1999/04/03","","","10.1002/(SICI)1098-2396(199904)32:1<58::AID-SYN8>3.0.CO;2-R"
"10780268","Tentative association of the serotonin transporter with schizophrenia and unipolar depression but not with bipolar disorder in Han Chinese","Liu W, Gu N, Feng G, Li S, Bai S, Zhang J, Shen T, Xue H, Breen G, St Clair D, He L.","Pharmacogenetics. 1999 Aug;9(4):491-5.","Liu W","Pharmacogenetics","1999","2000/04/26","","",""
"10484962","Influence of a functional polymorphism within the promoter of the serotonin transporter gene on the effects of total sleep deprivation in bipolar depression","Benedetti F, Serretti A, Colombo C, Campori E, Barbini B, di Bella D, Smeraldi E.","Am J Psychiatry. 1999 Sep;156(9):1450-2. doi: 10.1176/ajp.156.9.1450.","Benedetti F","Am J Psychiatry","1999","1999/09/15","","","10.1176/ajp.156.9.1450"
"10555044","Possible association of fibromyalgia with a polymorphism in the serotonin transporter gene regulatory region","Offenbaecher M, Bondy B, de Jonge S, Glatzeder K, Krüger M, Schoeps P, Ackenheil M.","Arthritis Rheum. 1999 Nov;42(11):2482-8. doi: 10.1002/1529-0131(199911)42:11<2482::AID-ANR27>3.0.CO;2-B.","Offenbaecher M","Arthritis Rheum","1999","1999/11/11","","","10.1002/1529-0131(199911)42:11<2482::AID-ANR27>3.0.CO;2-B"
"10560226","Effects of serotonin transporter promoter genotype on platelet serotonin transporter functionality in depressed children and adolescents","Nobile M, Begni B, Giorda R, Frigerio A, Marino C, Molteni M, Ferrarese C, Battaglia M.","J Am Acad Child Adolesc Psychiatry. 1999 Nov;38(11):1396-402. doi: 10.1097/00004583-199911000-00014.","Nobile M","J Am Acad Child Adolesc Psychiatry","1999","1999/11/24","","","10.1097/00004583-199911000-00014"
"10613618","Decreased platelet serotonin transporter sites and increased platelet inositol triphosphate levels in patients with unipolar depression: effects of clomipramine and fluoxetine","Alvarez JC, Gluck N, Arnulf I, Quintin P, Leboyer M, Pecquery R, Launay JM, Perez-Diaz F, Spreux-Varoquaux O.","Clin Pharmacol Ther. 1999 Dec;66(6):617-24. doi: 10.1053/cp.1999.v66.103402001.","Alvarez JC","Clin Pharmacol Ther","1999","1999/12/29","","","10.1053/cp.1999.v66.103402001"
"11285147","New views of biogenic amine transporter function: implications for neuropsychopharmacology","Frazer A, Gerhardt GA, Daws LC.","Int J Neuropsychopharmacol. 1999 Dec;2(4):305-320. doi: 10.1017/S1461145799001625.","Frazer A","Int J Neuropsychopharmacol","1999","2001/04/04","","","10.1017/S1461145799001625"
