PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11256582","Serotonin transporter polymorphism and response to SSRIs in major depression and relevance to anxiety disorders and substance abuse","Weizman A, Weizman R.","Pharmacogenomics. 2000 Aug;1(3):335-41. doi: 10.1517/14622416.1.3.335.","Weizman A","Pharmacogenomics","2000","2001/03/21","","","10.1517/14622416.1.3.335"
"11059794","5-HT-HPA interactions in two models of transgenic mice relevant to major depression","Lanfumey L, Mannoury La Cour C, Froger N, Hamon M.","Neurochem Res. 2000 Oct;25(9-10):1199-206. doi: 10.1023/a:1007683810230.","Lanfumey L","Neurochem Res","2000","2000/11/04","","","10.1023/a:1007683810230"
"12083964","Polymorphism of the serotonin transporter: implications for the use of selective serotonin reuptake inhibitors","Lotrich FE, Pollock BG, Ferrell RE.","Am J Pharmacogenomics. 2001;1(3):153-64. doi: 10.2165/00129785-200101030-00001.","Lotrich FE","Am J Pharmacogenomics","2001","2002/06/27","","","10.2165/00129785-200101030-00001"
"12478878","Receptor and transporter imaging studies in schizophrenia, depression, bulimia and Tourette's disorder--implications for psychopharmacology","Kasper S, Tauscher J, Willeit M, Stamenkovic M, Neumeister A, Küfferle B, Barnas C, Stastny J, Praschak-Rieder N, Pezawas L, de Zwaan M, Quiner S, Pirker W, Asenbaum S, Podreka I, Brücke T.","World J Biol Psychiatry. 2002 Jul;3(3):133-46. doi: 10.3109/15622970209150614.","Kasper S","World J Biol Psychiatry","2002","2002/12/14","","","10.3109/15622970209150614"
"12849930","Genetics of the serotonergic system in suicidal behavior","Arango V, Huang YY, Underwood MD, Mann JJ.","J Psychiatr Res. 2003 Sep-Oct;37(5):375-86. doi: 10.1016/s0022-3956(03)00048-7.","Arango V","J Psychiatr Res","2003","2003/07/10","","","10.1016/s0022-3956(03)00048-7"
"15148564","Pharmacogenetic insights to monoaminergic dysfunction in alcohol dependence","Heinz A, Goldman D, Gallinat J, Schumann G, Puls I.","Psychopharmacology (Berl). 2004 Aug;174(4):561-70. doi: 10.1007/s00213-004-1903-x. Epub 2004 May 18.","Heinz A","Psychopharmacology (Berl)","2004","2004/05/19","","","10.1007/s00213-004-1903-x"
"15877306","Genetics and genomics of depression","Hamet P, Tremblay J.","Metabolism. 2005 May;54(5 Suppl 1):10-5. doi: 10.1016/j.metabol.2005.01.006.","Hamet P","Metabolism","2005","2005/05/07","","","10.1016/j.metabol.2005.01.006"
"16288736","Alcohol dependence and gene x environment interaction in emotion regulation: Is serotonin the link?","Lesch KP.","Eur J Pharmacol. 2005 Dec 5;526(1-3):113-24. doi: 10.1016/j.ejphar.2005.09.027. Epub 2005 Nov 8.","Lesch KP","Eur J Pharmacol","2005","2005/11/18","","","10.1016/j.ejphar.2005.09.027"
"16869229","Serotonergic dysfunction: brain imaging and behavioral correlates","Wrase J, Reimold M, Puls I, Kienast T, Heinz A.","Cogn Affect Behav Neurosci. 2006 Mar;6(1):53-61. doi: 10.3758/cabn.6.1.53.","Wrase J","Cogn Affect Behav Neurosci","2006","2006/07/28","","","10.3758/cabn.6.1.53"
"16530463","Genetics of emotional regulation: the role of the serotonin transporter in neural function","Hariri AR, Holmes A.","Trends Cogn Sci. 2006 Apr;10(4):182-91. doi: 10.1016/j.tics.2006.02.011. Epub 2006 Mar 10.","Hariri AR","Trends Cogn Sci","2006","2006/03/15","","","10.1016/j.tics.2006.02.011"
"17372541","[Heritability and candidate genes in tobacco use]","Hamdani N, Ades J, Gorwood P.","Encephale. 2006 Nov-Dec;32(6 Pt 1):966-75. doi: 10.1016/s0013-7006(06)76275-3.","Hamdani N","Encephale","2006","2007/03/21","","","10.1016/s0013-7006(06)76275-3"
"21204384","High-Speed Chronoamperometry to Study Kinetics and Mechanisms for Serotonin Clearance In Vivo","Daws LC, Toney GM.","In: Michael AC, Borland LM, editors. Electrochemical Methods for Neuroscience. Boca Raton (FL): CRC Press/Taylor & Francis; 2007. Chapter 5.","Daws LC","Electrochemical Methods for Neuroscience","2007","2007/01/01","","",""
"17726476","Long story short: the serotonin transporter in emotion regulation and social cognition","Canli T, Lesch KP.","Nat Neurosci. 2007 Sep;10(9):1103-9. doi: 10.1038/nn1964.","Canli T","Nat Neurosci","2007","2007/08/30","","","10.1038/nn1964"
"17700575","The moderation by the serotonin transporter gene of environmental adversity in the aetiology of mental illness: review and methodological analysis","Uher R, McGuffin P.","Mol Psychiatry. 2008 Feb;13(2):131-46. doi: 10.1038/sj.mp.4002067. Epub 2007 Aug 14.","Uher R","Mol Psychiatry","2008","2007/08/19","","","10.1038/sj.mp.4002067"
"18622081","Skeletal effects of serotonin (5-hydroxytryptamine) transporter inhibition: evidence from in vitro and animal-based studies","Warden SJ, Haney EM.","J Musculoskelet Neuronal Interact. 2008 Apr-Jun;8(2):121-32.","Warden SJ","J Musculoskelet Neuronal Interact","2008","2008/07/16","PMC4155922","NIHMS624780",""
"18622082","Skeletal effects of serotonin (5-hydroxytryptamine) transporter inhibition: evidence from clinical studies","Haney EM, Warden SJ.","J Musculoskelet Neuronal Interact. 2008 Apr-Jun;8(2):133-45.","Haney EM","J Musculoskelet Neuronal Interact","2008","2008/07/16","","",""
"19018726","Pharmacogenetics of selective serotonin reuptake inhibitors in pediatric depression and anxiety","Kronenberg S, Frisch A, Rotberg B, Carmel M, Apter A, Weizman A.","Pharmacogenomics. 2008 Nov;9(11):1725-36. doi: 10.2217/14622416.9.11.1725.","Kronenberg S","Pharmacogenomics","2008","2008/11/21","","","10.2217/14622416.9.11.1725"
"19040324","Pharmacogenetics and the serotonin transporter in late-life depression","Gerretsen P, Pollock BG.","Expert Opin Drug Metab Toxicol. 2008 Dec;4(12):1465-78. doi: 10.1517/17425250802560279.","Gerretsen P","Expert Opin Drug Metab Toxicol","2008","2008/12/02","","","10.1517/17425250802560279"
"19434367","Pharmacogenetics of anxiolytic drugs","Tiwari AK, Souza RP, Müller DJ.","J Neural Transm (Vienna). 2009 Jun;116(6):667-77. doi: 10.1007/s00702-009-0229-6. Epub 2009 May 12.","Tiwari AK","J Neural Transm (Vienna)","2009","2009/05/13","","","10.1007/s00702-009-0229-6"
"19438423","Genetic and non-genetic influences on the development of co-occurring alcohol problem use and internalizing symptomatology in adolescence: a review","Saraceno L, Munafó M, Heron J, Craddock N, van den Bree MB.","Addiction. 2009 Jul;104(7):1100-21. doi: 10.1111/j.1360-0443.2009.02571.x. Epub 2009 May 11.","Saraceno L","Addiction","2009","2009/05/15","","","10.1111/j.1360-0443.2009.02571.x"
"20150867","The serotonin transporter gene (5-HTT) variant and psychiatric disorders: review of current literature","Kuzelova H, Ptacek R, Macek M.","Neuro Endocrinol Lett. 2010;31(1):4-10.","Kuzelova H","Neuro Endocrinol Lett","2010","2010/02/13","","",""
"20459391","Pharmacogenetic insights into depression and antidepressant response: does sex matter?","Pitychoutis PM, Zisaki A, Dalla C, Papadopoulou-Daifoti Z.","Curr Pharm Des. 2010;16(20):2214-23. doi: 10.2174/138161210791792831.","Pitychoutis PM","Curr Pharm Des","2010","2010/05/13","","","10.2174/138161210791792831"
"20307163","Synapse regression in depression: the role of 5-HT receptors in modulating NMDA receptor function and synaptic plasticity","Bennett MR.","Aust N Z J Psychiatry. 2010 Apr;44(4):301-8. doi: 10.3109/00048670903555146.","Bennett MR","Aust N Z J Psychiatry","2010","2010/03/24","","","10.3109/00048670903555146"
"20491280","[Prediction of antidepressant response to milnacipran and fluvoxamine using pharmacogenetical methods]","Higuchi H.","Nihon Shinkei Seishin Yakurigaku Zasshi. 2010 Apr;30(2):71-6.","Higuchi H","Nihon Shinkei Seishin Yakurigaku Zasshi","2010","2010/05/25","","",""
"20231323","Genetic sensitivity to the environment: the case of the serotonin transporter gene and its implications for studying complex diseases and traits","Caspi A, Hariri AR, Holmes A, Uher R, Moffitt TE.","Am J Psychiatry. 2010 May;167(5):509-27. doi: 10.1176/appi.ajp.2010.09101452. Epub 2010 Mar 15.","Caspi A","Am J Psychiatry","2010","2010/03/17","PMC2943341","NIHMS233508","10.1176/appi.ajp.2010.09101452"
"20809204","Depression, selective serotonin reuptake inhibitors, and osteoporosis","Bab I, Yirmiya R.","Curr Osteoporos Rep. 2010 Dec;8(4):185-91. doi: 10.1007/s11914-010-0026-z.","Bab I","Curr Osteoporos Rep","2010","2010/09/03","","","10.1007/s11914-010-0026-z"
"21047622","Looking on the bright side of serotonin transporter gene variation","Homberg JR, Lesch KP.","Biol Psychiatry. 2011 Mar 15;69(6):513-9. doi: 10.1016/j.biopsych.2010.09.024. Epub 2010 Nov 2.","Homberg JR","Biol Psychiatry","2011","2010/11/05","","","10.1016/j.biopsych.2010.09.024"
"21542658","Effects of selective serotonin reuptake inhibitors on platelet function: mechanisms, clinical outcomes and implications for use in elderly patients","de Abajo FJ.","Drugs Aging. 2011 May 1;28(5):345-67. doi: 10.2165/11589340-000000000-00000.","de Abajo FJ","Drugs Aging","2011","2011/05/06","","","10.2165/11589340-000000000-00000"
"21129431","Animal models of depression and anxiety: What do they tell us about human condition?","Neumann ID, Wegener G, Homberg JR, Cohen H, Slattery DA, Zohar J, Olivier JD, Mathé AA.","Prog Neuropsychopharmacol Biol Psychiatry. 2011 Aug 1;35(6):1357-75. doi: 10.1016/j.pnpbp.2010.11.028. Epub 2010 Dec 1.","Neumann ID","Prog Neuropsychopharmacol Biol Psychiatry","2011","2010/12/07","","","10.1016/j.pnpbp.2010.11.028"
"22021682","Serotonin transporter polymorphism in major depressive disorder (MDD), psychiatric disorders, and in MDD in response to stressful life events: causes and treatment with antidepressant","Daniele A, Divella R, Paradiso A, Mattioli V, Romito F, Giotta F, Casamassima P, Quaranta M.","In Vivo. 2011 Nov-Dec;25(6):895-901.","Daniele A","In Vivo","2011","2011/10/25","","",""
"22331694","Mouse models of the 5-HTTLPR × stress risk factor for depression","Carola V, Gross C.","Curr Top Behav Neurosci. 2012;12:59-72. doi: 10.1007/7854_2011_190.","Carola V","Curr Top Behav Neurosci","2012","2012/02/15","","","10.1007/7854_2011_190"
"22218074","Neuroimaging markers of cellular function in major depressive disorder: implications for therapeutics, personalized medicine, and prevention","Meyer JH.","Clin Pharmacol Ther. 2012 Feb;91(2):201-14. doi: 10.1038/clpt.2011.285. Epub 2012 Jan 4.","Meyer JH","Clin Pharmacol Ther","2012","2012/01/06","","","10.1038/clpt.2011.285"
"23149286","Emerging risk factors for postpartum depression: serotonin transporter genotype and omega-3 fatty acid status","Shapiro GD, Fraser WD, Séguin JR.","Can J Psychiatry. 2012 Nov;57(11):704-12. doi: 10.1177/070674371205701108.","Shapiro GD","Can J Psychiatry","2012","2012/11/15","PMC5173356","CAMS3458","10.1177/070674371205701108"
"22691454","Neuroreceptor imaging in depression","Savitz JB, Drevets WC.","Neurobiol Dis. 2013 Apr;52:49-65. doi: 10.1016/j.nbd.2012.06.001. Epub 2012 Jun 9.","Savitz JB","Neurobiol Dis","2013","2012/06/14","","","10.1016/j.nbd.2012.06.001"
"23547810","Serotonin (5-HT) in the regulation of depression-related emotionality: insight from 5-HT transporter and tryptophan hydroxylase-2 knockout mouse models","Araragi N, Lesch KP.","Curr Drug Targets. 2013 May 1;14(5):549-70. doi: 10.2174/1389450111314050005.","Araragi N","Curr Drug Targets","2013","2013/04/04","","","10.2174/1389450111314050005"
"25069243","[Childhood stress and depression]","Onoue T, Toda H, Nakai Y.","Nihon Shinkei Seishin Yakurigaku Zasshi. 2013 Jun;33(3):105-10.","Onoue T","Nihon Shinkei Seishin Yakurigaku Zasshi","2013","2014/07/30","","",""
"23512949","Clinical and molecular genetics of psychotic depression","Domschke K.","Schizophr Bull. 2013 Jul;39(4):766-75. doi: 10.1093/schbul/sbt040. Epub 2013 Mar 19.","Domschke K","Schizophr Bull","2013","2013/03/21","PMC3686457","","10.1093/schbul/sbt040"
"23816492","Personalized medicine in Alzheimer's disease and depression","Souslova T, Marple TC, Spiekerman AM, Mohammad AA.","Contemp Clin Trials. 2013 Nov;36(2):616-23. doi: 10.1016/j.cct.2013.06.012. Epub 2013 Jun 29.","Souslova T","Contemp Clin Trials","2013","2013/07/03","","","10.1016/j.cct.2013.06.012"
"23810751","[Effect of SSRIs on bone metabolism]","Kerbage H, Bahadori S, Léger J, Carel JC, Purper Ouakil D.","Encephale. 2014 Feb;40(1):56-61. doi: 10.1016/j.encep.2013.04.007. Epub 2013 Jun 28.","Kerbage H","Encephale","2014","2013/07/02","","","10.1016/j.encep.2013.04.007"
"24631644","Controversies on the role of 5-HT(2C) receptors in the mechanisms of action of antidepressant drugs","Martin CB, Hamon M, Lanfumey L, Mongeau R.","Neurosci Biobehav Rev. 2014 May;42:208-23. doi: 10.1016/j.neubiorev.2014.03.001. Epub 2014 Mar 11.","Martin CB","Neurosci Biobehav Rev","2014","2014/03/18","","","10.1016/j.neubiorev.2014.03.001"
"24704572","The serotonin-BDNF duo: developmental implications for the vulnerability to psychopathology","Homberg JR, Molteni R, Calabrese F, Riva MA.","Neurosci Biobehav Rev. 2014 Jun;43:35-47. doi: 10.1016/j.neubiorev.2014.03.012. Epub 2014 Apr 3.","Homberg JR","Neurosci Biobehav Rev","2014","2014/04/08","","","10.1016/j.neubiorev.2014.03.012"
